"","model","alg","workers","buchi","rabinpairorder","time_v","time","ltl","ustates","utrans","tstates","ttrans","selfloop","claimdead","claimfound","claimsuccess","cumstack","rabinpairs","ftrans","autsize"
"489","S_SharedMemory-PT-000010_LTLC_15_","favoid",16,"rabinizer3","seq",0.0805733333333333,8.97398826586281,-1,1830519,19486170,1958092.4,1958092.4,0,0,0,1958092.4,16,1,1830519,1
"494","S_SharedMemory-PT-000010_LTLC_3_","favoid",16,"rabinizer3","seq",0.0256455555555555,7.85552169922264,-1,1830520,19486190,1833031.5,19523466,0,31.9,17661919.1,1832467.2,579429.5,1,0,2
"504","S_TokenRing-PT-010_LTLC_1_","favoid",16,"rabinizer3","seq",0.0138944444444444,2.28233398251015,-1,58905,294050,61999.9,307155.8,0,237336,10,61996.2,1817.7,1,0,1
"509","S_TokenRing-PT-010_LTLC_10_","favoid",16,"rabinizer3","seq",0.0150488888888889,2.3030520656266,-1,58905,294050,61982.9,306396,0,237082.8,9.7,61979.9,1934.6,1,0,1
"514","S_TokenRing-PT-010_LTLC_11_","favoid",16,"rabinizer3","seq",0.0443511111111111,2.32381090049814,-1,58905,294050,62009.6,306484.1,0,237093.9,6,62008.4,1915.9,1,0,1
"519","S_TokenRing-PT-010_LTLC_4_","favoid",16,"rabinizer3","seq",0.0110233333333333,2.30485053365992,-1,58905,294050,61980.3,305455.6,0,236881.9,12,61976.9,2028.4,1,10,2
"529","SwimmingPool-PT-04_LTLC_7_","favoid",16,"rabinizer3","seq",2090.75189333333,498.124189928125,-1,164385222,1047509093,368876483.7,455884169.6,0,70521010.4,0,368876483.7,1844.8,1,163058666,2
"534","SwimmingPool-PT-08_LTLC_4_","favoid",16,"rabinizer3","seq",0,700,-1,235346583.3,1549014264.1,456670183.8,456670183.8,0,0,0,456670183.8,16,2,268434434.6,3
"543","TokenRing-PT-010_LTLC_1_","favoid",16,"rabinizer3","seq",0.0103955555555556,2.22994094159749,-1,58905,294050,62248.3,307257,0,237343,7.8,62245.9,2078.9,1,0,1
"548","TokenRing-PT-010_LTLC_10_","favoid",16,"rabinizer3","seq",0.00952111111111111,2.22909334149531,-1,58905,294050,61915,306265.1,0,237155.1,8.8,61913.3,1878.4,1,0,1
"553","TokenRing-PT-010_LTLC_11_","favoid",16,"rabinizer3","seq",0.0811511111111111,2.31825155709655,-1,58905,294050,62213.8,307227.5,0,237300.1,8.1,62212,2048.3,1,0,1
"558","TokenRing-PT-010_LTLC_4_","favoid",16,"rabinizer3","seq",0.0507655555555555,2.45185058505553,-1,58905,294050,61859.3,305014.6,0,236787.8,8.2,61856.2,1947.4,1,10,2
