"","model","alg","workers","buchi","rabinpairorder","time_v","time","ltl","ustates","utrans","tstates","ttrans","selfloop","claimdead","claimfound","claimsuccess","cumstack","rabinpairs","ftrans","autsize"
"503","S_TokenRing-PT-010_LTLC_1_","favoid",16,"ltl3hoa","seq",0.0191155555555555,3.51154749205285,-1,117810,588100,124228.8,366248.6,0,236478.2,11,124224.5,2284,2,58904,1
"508","S_TokenRing-PT-010_LTLC_10_","favoid",16,"ltl3hoa","seq",0.0248488888888889,3.59293663419487,-1,117810,588100,124278.6,366329.9,0,236475.1,9.6,124275.6,2291.7,2,58904,1
"513","S_TokenRing-PT-010_LTLC_11_","favoid",16,"ltl3hoa","seq",0.0143288888888889,3.58021004588186,-1,117810,588100,124324.2,366452.1,0,236487.4,7.8,124321.2,2299.6,2,58904,1
"518","S_TokenRing-PT-010_LTLC_4_","favoid",16,"ltl3hoa","seq",0.0148988888888889,3.477093846083,-1,117810,588100,124229.2,366260.1,0,236490.5,13.4,124225.7,2295.1,2,58904,1
"528","SwimmingPool-PT-04_LTLC_7_","favoid",16,"ltl3hoa","seq",48.8482677777779,531.961486733346,-1,164385221,1047509092,381667019.1,468115380,0,70356207.9,0,381667019.1,1856.2,1,163058665,1
"533","SwimmingPool-PT-08_LTLC_4_","favoid",16,"ltl3hoa","seq",0,999.999,-1,194257243.1,1276057742.2,457541071.5,457541071.5,0,0,0,457541071.5,16,1,222364588.4,1
"542","TokenRing-PT-010_LTLC_1_","favoid",16,"ltl3hoa","seq",0.04441,3.67358040732313,-1,117810,588100,124153.2,365653.1,0,236355.8,7.2,124151.1,2289.5,2,58904,1
"547","TokenRing-PT-010_LTLC_10_","favoid",16,"ltl3hoa","seq",0.00686777777777777,3.46610649670771,-1,117810,588100,124349.3,366827.2,0,236602.9,11.7,124345.3,2280.7,2,58904,1
"552","TokenRing-PT-010_LTLC_11_","favoid",16,"ltl3hoa","seq",0.0203833333333333,3.56243042263036,-1,117810,588100,124226.3,366186.6,0,236406.1,11.5,124220.7,2283.6,2,58904,1
"557","TokenRing-PT-010_LTLC_4_","favoid",16,"ltl3hoa","seq",0.0165288888888889,3.46988407171678,-1,117810,588100,124326.9,366747.5,0,236601.7,12.9,124323.2,2294.8,2,58904,1
