"","model","alg","workers","buchi","rabinpairorder","time_v","time","ltl","ustates","utrans","tstates","ttrans","selfloop","claimdead","claimfound","claimsuccess","cumstack","rabinpairs","ftrans","autsize"
"590","S_ParamProductionCell-PT-5_LTLC_6_","favoid",16,"tgbarabin","seq",0.145222222222222,9.83,-1,1725853,7029084,1772890.7,7220154.1,0,223205.7,5129762.5,1753138,370538.3,1,0,2
"594","S_PermAdmissibility-PT-01_LTLC_1_","favoid",16,"tgbarabin","seq",0.0108044444444444,2.166,-1,52537,73288,55520.1,79282.3,19139.8,3197.8,0,55520.1,272,1,0,1
"600","S_PermAdmissibility-PT-01_LTLC_12_","favoid",16,"tgbarabin","seq",0.0151822222222222,3.386,-1,105073,146592,109343.4,159047.4,19117.4,26403.4,0,109343.4,288,1,0,4
"604","S_PermAdmissibility-PT-01_LTLC_5_","favoid",16,"tgbarabin","seq",0.0171655555555555,2.221,-1,52537,73288,55370.1,78987.1,19101.6,3134.4,0,55370.1,272,1,0,1
"612","S_PhilosophersDyn-PT-10_LTLC_2_","favoid",16,"tgbarabin","seq",0.182672222222222,9.615,-1,386491,1484275,389205.9,1517861.4,14046.5,1085556.4,6834.7,388900.2,291.2,1,0,2
"620","S_Philosophers-PT-000050_LTLC_0_","favoid",16,"tgbarabin","seq",0.642912222222222,6.973,10,138797.5,2536108.2,138813.6,2537713.2,2,0,265237.6,138813.6,136790.5,1,0,2
"625","S_QuasiCertifProtocol-PT-06_LTLC_11_","favoid",16,"tgbarabin","seq",0.115427777777778,6.655,10,394066.4,2053504.2,397895.3,2105765.2,1400.2,1666403.1,0,397895.3,598.4,1,0,5
"632","S_QuasiCertifProtocol-PT-06_LTLC_7_","favoid",16,"tgbarabin","seq",0.200817777777778,11.078,-1,2288407,16105778,2302195.1,16281351.4,4248.3,13843598.9,0,2302195.1,1007.9,1,0,2
"637","S_RwMutex-PT-r0020w0010_LTLC_3_","favoid",16,"tgbarabin","seq",0.0277955555555556,4.678,-1,1048586,20971540,1049320.5,20986160.4,0,0,19923634.9,1048731.6,1030641.7,1,0,1
"641","S_SharedMemory-PT-000010_LTLC_1_","favoid",16,"tgbarabin","seq",0.0336544444444445,7.501,-1,1830519,19486170,1833078.2,19529745.3,0,0,17661461.5,1832248.4,579962.6,1,0,1
