"","model","alg","workers","buchi","rabinpairorder","time_v","time","ltl","ustates","utrans","tstates","ttrans","selfloop","claimdead","claimfound","claimsuccess","cumstack","rabinpairs","ftrans","autsize"
"332","ParamProductionCell-PT-5_LTLC_6_","ufscc",16,"tgba","-1",0.202778888888889,9.533,-1,1725853,7029084,1774178.8,7226933.3,0,219022.5,5131193.2,1750941.4,363902.1,-1,-1,2
"336","PermAdmissibility-PT-01_LTLC_1_","ufscc",16,"tgba","-1",0.0132222222222222,2.19,-1,52537,73288,55494.3,79264.9,19107.4,3199.2,0,55494.3,272,-1,-1,1
"342","PermAdmissibility-PT-01_LTLC_12_","ufscc",16,"tgba","-1",0.0238044444444444,3.334,-1,105073,146592,109237,158494.6,19093.2,26246.9,0,109237,288,-1,-1,4
"346","PermAdmissibility-PT-01_LTLC_5_","ufscc",16,"tgba","-1",0.0367211111111111,2.251,-1,52537,73288,55880.9,80007.6,19183,3313.2,0,55880.9,272,-1,-1,1
"354","PhilosophersDyn-PT-10_LTLC_2_","ufscc",16,"tgba","-1",0.0775122222222223,9.173,-1,386491,1484275,388998,1515401,14041.8,1084742.8,6797.2,388717.4,291.9,-1,-1,2
"359","QuasiCertifProtocol-PT-06_LTLC_11_","ufscc",16,"tgba","-1",0.148121111111111,6.841,53,400603.2,2107885.8,404416.5,2159992.2,1353.3,1713883.9,0,404416.5,599.7,-1,-1,5
"366","QuasiCertifProtocol-PT-06_LTLC_7_","ufscc",16,"tgba","-1",0.124248888888889,11.004,-1,2288407,16105778,2302879,16291019.1,4245.8,13845077.5,0,2302879,1007.9,-1,-1,2
"370","RwMutex-PT-r0020w0010_LTLC_3_","ufscc",16,"tgba","-1",0.0225433333333333,4.571,-1,1048586,20971540,1049188.6,20983598.4,0,0,19923565.3,1048720.8,1030373.2,-1,-1,1
"386","S_Angiogenesis-PT-50_LTLC_9_","ufscc",16,"tgba","-1",0.136019444444444,1.33777777777778,17201.8888888889,274069.444444444,2184808.22222222,274687.444444444,2187859.33333333,1.11111111111111,87.4444444444444,614411.888888889,274661.333333333,274069.888888889,-1,-1,1
"400","S_CircadianClock-PT-100000_LTLC_12_","ufscc",16,"tgba","-1",7.13467666666667,6.199,450007.7,7839755.7,82348946.1,7840570.4,82353270.3,0,0.1,19588012,7840570.4,7840567.8,-1,-1,3
"406","S_CircadianClock-PT-100000_LTLC_14_","ufscc",16,"tgba","-1",0.378062222222222,2.018,130784,2351082.2,13997062.1,2351938.7,14000806.9,0,0.2,2772377.4,2351938.2,2348799.3,-1,-1,3
"413","S_CircadianClock-PT-100000_LTLC_2_","ufscc",16,"tgba","-1",0.00856555555555555,1.651,100027,1852131.1,11276837.5,1853213.6,11281646.2,0,0.4,2112777.4,1853213.6,1847299.1,-1,-1,2
"419","S_CircularTrains-PT-192_LTLC_0_","ufscc",16,"tgba","-1",0.1322,7.07,3219.9,30784.6,331707.5,30801.2,332785.9,0,0,1,30801.2,30801.2,-1,-1,2
"423","S_Dekker-PT-020_LTLC_7_","ufscc",16,"tgba","-1",1173.15313777778,33.444,16157.7,3270129.5,328567073.3,3274133.8,328906402.4,0,0,303165712.5,3270349,2585343.5,-1,-1,1
"438","S_ERK-PT-100000_LTLC_3_","ufscc",16,"tgba","-1",0.00792111111111111,1.169,100002.1,1438165.5,6443908.9,1439412.1,6448321.1,0,0.4,1362197.5,1439412.1,1439357.3,-1,-1,2
"454","SharedMemory-PT-000010_LTLC_1_","ufscc",16,"tgba","-1",0.0467388888888889,7.625,-1,1830519,19486170,1834048.6,19540095.2,0,0,17661909.6,1832452,587930.7,-1,-1,1
"462","SharedMemory-PT-000010_LTLC_15_","ufscc",16,"tgba","-1",0.0315555555555556,7.55,-1,1830519,19486170,1833520,19532568.8,0,0,17661734.5,1832484.5,588526.2,-1,-1,2
"466","SharedMemory-PT-000010_LTLC_3_","ufscc",16,"tgba","-1",0.0712455555555555,7.577,-1,1830519,19486170,1832778.2,19519179,0,0,17661371.1,1832337.5,577263,-1,-1,1
"474","S_HouseConstruction-PT-005_LTLC_14_","ufscc",16,"tgba","-1",0.00611555555555555,1.854,-1,1752399,11031623,1786714.3,11285134,1.2,9352129.6,0,1786714.3,1347.6,-1,-1,2
"482","S_HouseConstruction-PT-005_LTLC_6_","ufscc",16,"tgba","-1",0.00109333333333334,1.696,-1,1594961,9520057,1620314.8,9693622.5,1.1,7972934.6,0,1620314.8,1331.8,-1,-1,2
"535","S_IBMB2S565S3960-PT-none_LTLC_0_","ufscc",16,"tgba","-1",1.20156,9.194,218.2,1405106.8,5901559.9,1433868.4,6020542.8,392.5,4464109.1,76458,1430518.8,7106.3,-1,-1,1
"575","S_ParamProductionCell-PT-2_LTLC_3_","ufscc",16,"tgba","-1",0.03069,6.327,-1,388386,1660380,425891.3,1814085.4,0,253682.5,1062546.7,416260.8,43003.5,-1,-1,2
"583","S_ParamProductionCell-PT-4_LTLC_14_","ufscc",16,"tgba","-1",0.1466,16.72,-1,4369190,24135322,4534047.7,24850799.8,0,12620890.6,7443670.8,4516579.8,611199.1,-1,-1,2
"591","S_ParamProductionCell-PT-5_LTLC_6_","ufscc",16,"tgba","-1",0.187555555555555,9.91,-1,1725853,7029084,1767807.7,7201071,0,220808.2,5124963.5,1748892.7,374062.7,-1,-1,2
"595","S_PermAdmissibility-PT-01_LTLC_1_","ufscc",16,"tgba","-1",0.0179511111111111,2.262,-1,52537,73288,55487.8,79246.7,19114.7,3181.4,0,55487.8,272,-1,-1,1
"601","S_PermAdmissibility-PT-01_LTLC_12_","ufscc",16,"tgba","-1",0.0161788888888889,3.383,-1,105073,146592,109209.6,158526.8,19099.4,26215.6,0,109209.6,288,-1,-1,4
